pm,keyword,score
Rajiv Gandhi,dalals,0.4777
Rajiv Gandhi,cost expenses travel,0.4675
Rajiv Gandhi,set group consisting,0.4465
Rajiv Gandhi,reaches randomly blocks,0.4217
Rajiv Gandhi,type scientists type,0.373
Rajiv Gandhi,want urbanisation talking,0.6913
Rajiv Gandhi,human resource ministry,0.5842
Rajiv Gandhi,weavers handlooms special,0.5586
Rajiv Gandhi,bhopal followed leaks,0.5468
Rajiv Gandhi,administrative tribunals reduce,0.5245
Rajiv Gandhi,kumbh mela,0.5104
Rajiv Gandhi,bombay madras,0.4858
Rajiv Gandhi,hazardous substances time,0.4839
Rajiv Gandhi,youngsters school,0.4726
Rajiv Gandhi,way true,0.4714
Rajiv Gandhi,hardwar river,0.4323
Rajiv Gandhi,session control,0.4219
Rajiv Gandhi,leaks fortunately bad,0.3673
Rajiv Gandhi,auditorium theatres market,0.3502
Rajiv Gandhi,biotechnology seventh plan,0.7169
Rajiv Gandhi,annual cultural,0.5743
Rajiv Gandhi,market places melas,0.572
Rajiv Gandhi,bhavana built freedom,0.5695
Rajiv Gandhi,seva tyaga president,0.5668
Rajiv Gandhi,backward classes,0.5618
Rajiv Gandhi,process changed 1947,0.5535
Rajiv Gandhi,make best available,0.5383
Rajiv Gandhi,policies remain unchanged,0.5249
Rajiv Gandhi,saying fought political,0.5244
Rajiv Gandhi,average person,0.5097
Rajiv Gandhi,panditji indiraji,0.4871
Rajiv Gandhi,inputs does link,0.4732
Rajiv Gandhi,tremendous account,0.4526
Rajiv Gandhi,pri vili,0.4149
Rajiv Gandhi,sector decisions delay,0.7282
Rajiv Gandhi,assassination indira,0.6188
Rajiv Gandhi,7th plan,0.6139
Rajiv Gandhi,separatists communalists fail,0.6103
Rajiv Gandhi,continued hon,0.6047
Rajiv Gandhi,humayun incumbent,0.5684
Rajiv Gandhi,punjab everybody thought,0.5561
Rajiv Gandhi,terrorism feeling guilty,0.5517
Rajiv Gandhi,gandhiji traditions heritage,0.5268
Rajiv Gandhi,does reduce secularism,1.0871
Rajiv Gandhi,sentence secret babar,0.5186
Rajiv Gandhi,said signed accord,0.512
Rajiv Gandhi,biggest investment,0.494
Rajiv Gandhi,127 women right,0.48
Rajiv Gandhi,law section,0.4613
Rajiv Gandhi,section 125,0.7203
Rajiv Gandhi,muslim personal law,0.6939
Rajiv Gandhi,lady question dower,0.6544
Rajiv Gandhi,rs 179,0.5568
Rajiv Gandhi,action south africa,0.5444
Rajiv Gandhi,clear substantive issues,0.5276
Rajiv Gandhi,women giving,0.5063
Rajiv Gandhi,mehr way,0.5013
Rajiv Gandhi,bahamas effect great,0.4951
Rajiv Gandhi,banks institutions pulled,0.4858
Rajiv Gandhi,asia formation saarc,0.4793
